,Event_Spec,Cruise,Latitude,Longitude,min_start_time,max_end_time,num_row_near,indexs
364,MTR_BCD2005603_1334_1437_3600_SPRING_10,BCD2005603,43.5549,-66.0349,2005-04-19,2007-12-05,5.0,"[364, 1919, 2152, 3812, 3823]"
369,MTR_BCD2005603_1230_8898_3600_SPRING_1,BCD2005603,43.7733,-66.2283,2000-11-27,2009-05-30,11.0,"[369, 863, 2209, 2345, 2764, 2881, 3218, 3340, 3387, 3944, 4260]"
370,MTR_BCD2005603_1252_9065_3600_SPRING_2,BCD2005603,43.3517,-65.7917,2005-03-28,2006-05-31,3.0,"[370, 2727, 3695]"
373,MTR_99603_1168_8173_1800_FALL_1,99603,43.4317,-65.8,1999-11-29,2001-09-04,4.0,"[373, 1656, 1657, 3311]"
374,MTR_99603_1178_8309_1800_FALL_4,99603,43.4385,-65.4705,1999-12-16,2008-05-31,4.0,"[374, 1461, 2231, 4303]"
376,MTR_99603_1188_8330_1800_FALL_1,99603,43.8002,-66.2175,1999-11-29,2005-05-30,4.0,"[376, 1966, 3298, 3758]"
379,MTR_99603_1092_8269_1800_FALL_2,99603,43.8777,-64.7825,1999-04-25,2007-12-23,8.0,"[379, 1036, 1699, 2241, 3225, 3673, 3832, 4308]"
380,MTR_99603_1118_8351_1800_FALL_1,99603,43.6542,-65.2408,1999-04-30,2004-05-21,5.0,"[380, 1155, 1555, 3829, 4345]"
385,MTR_BCD2000603_1162_8320_1800_FALL_6,BCD2000603,43.4455,-65.798,1999-11-30,2006-05-29,5.0,"[385, 1456, 1656, 2178, 3708]"
388,MTR_BCD2000603_1176_2093_1800_FALL_2,BCD2000603,43.3907,-65.9503,1999-12-22,2001-04-12,4.0,"[388, 423, 1066, 4302]"
389,MTR_BCD2000603_1126_8175_1800_FALL_3,BCD2000603,43.6833,-65.0917,1999-11-29,2004-05-30,7.0,"[389, 880, 1061, 2683, 2874, 3553, 4309]"
390,MTR_BCD2000603_1134_2130_1800_SPRING_3,BCD2000603,46.7693,-60.3212,2000-05-16,2011-07-13,16.0,"[390, 440, 471, 674, 1022, 1339, 1507, 1605, 2383, 2460, 2996, 3439, 3601, 4042, 4085, 4285]"
394,MTR_BCD2000603_1104_8179_1800_FALL_1,BCD2000603,43.3017,-65.8905,2000-03-12,2005-12-01,8.0,"[394, 933, 962, 1407, 1473, 1802, 3213, 3818]"
398,MTR_BCD2005603_1376_7189_3600_SPRING_1,BCD2005603,44.1047,-64.5278,2004-11-30,2010-05-31,6.0,"[398, 534, 824, 3446, 3633, 3634]"
399,MTR_BCD2005603_1392_1442_3600_SPRING_2,BCD2005603,44.4367,-63.617,1999-04-30,2005-05-14,2.0,"[399, 689]"
